"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"11",2.5,2.8,2.6,2.7,2.5,2.8,3,2.9,2.4,2.7,2.5,2.7,2.4
"21",2.5,2.7,2.5,2.5,2.4,2.6,2.7,2.9,2.4,2.6,2.5,2.5,2.3
"31",2.3,2.7,2.5,2.4,2.4,2.5,2.5,2.6,2.2,2.6,2.5,2.5,2.3
"41",2.2,2.7,2.5,2.4,2.5,2.5,2.6,2.6,2.3,2.5,2.5,2.4,2.5
"51",2.3,2.5,2.5,2.4,2.5,2.5,2.6,2.6,2.2,2.5,2.3,2.4,2.3
"61",2.2,2.4,2.5,2.3,2.4,2.2,2.2,2.2,2.5,2.2,2.2,2.3,2.3
"71",2.1,2.2,2.4,2.3,2.2,2,2,2,2.4,2.1,2.2,2.2,2.2
"12",2.3,2.8,2.6,2.7,2.4,2.8,3,2.9,2.4,2.8,2.6,2.6,2.4
"22",2.4,2.6,2.6,2.5,2.5,2.5,2.6,2.6,2.5,2.6,2.5,2.5,2.4
"32",2.4,2.7,2.7,2.6,2.6,2.6,2.9,2.8,2.3,2.8,2.6,2.7,2.5
"42",2.2,2.6,2.5,2.5,2.5,2.5,2.7,2.6,2.3,2.6,2.5,2.4,2.4
"52",2.2,2.5,2.5,2.3,2.4,2.5,2.6,2.4,2.2,2.4,2.3,2.3,2.3
"62",2.2,2.3,2.5,2.3,2.4,2.2,2.3,2.2,2.4,2.3,2.3,2.2,2.3
"72",2.1,2.2,2.4,2.2,2.3,2.1,2.1,2,2.4,2.2,2.2,2.1,2.1
"13",2.6,2.7,2.5,2.9,2.5,2.9,3.1,3.1,2.4,2.8,2.5,2.8,2.3
"23",2.5,2.6,2.3,2.7,2.5,2.8,2.9,2.9,2.3,2.7,2.4,2.7,2.3
"33",2.4,2.8,2.4,2.6,2.6,2.8,2.8,2.8,2.2,2.7,2.4,2.7,2.2
"43",2.3,2.7,2.4,2.6,2.5,2.6,2.7,2.7,2.3,2.5,2.3,2.6,2.3
"53",2.4,2.6,2.4,2.5,2.5,2.7,2.7,2.7,2.2,2.5,2.2,2.6,2.2
"63",2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.2,2.3,2.2
"73",2.1,2.2,2.3,2.2,2.2,2.2,2.2,2.2,2.4,2.1,2.2,2.1,2.1
"14",2.2,2.3,2.3,2.5,2.3,2.6,2.7,2.8,2.4,2.5,2.3,2.5,2.1
"24",2.3,2.4,2.3,2.4,2.2,2.5,2.5,2.6,2.3,2.3,2.2,2.4,2.1
"34",2.4,2.7,2.4,2.6,2.5,2.6,2.7,2.9,2.4,2.6,2.4,2.7,2.3
"44",2.3,2.5,2.3,2.4,2.4,2.4,2.5,2.6,2.4,2.4,2.3,2.4,2.2
"54",2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.4,2.3,2.2,2.4,2.2
"64",2.3,2.3,2.5,2.3,2.3,2.3,2.3,2.3,2.6,2.3,2.5,2.3,2.3
"74",2.2,2.2,2.4,2.3,2.2,2,2.1,2.1,2.7,2.2,2.4,2.2,2.2
"15",2.4,2.7,2.3,2.6,2.4,2.6,2.8,3,2.3,2.6,2.5,2.6,2.4
"25",2.4,2.6,2.4,2.4,2.3,2.5,2.6,2.8,2.2,2.4,2.3,2.4,2.2
"35",2.3,2.8,2.4,2.4,2.4,2.6,2.5,2.7,2.2,2.4,2.3,2.5,2.2
"45",2.3,2.6,2.4,2.4,2.4,2.4,2.5,2.6,2.2,2.4,2.3,2.5,2.3
"55",2.3,2.6,2.3,2.3,2.4,2.5,2.5,2.6,2.2,2.4,2.1,2.4,2.2
"65",2.3,2.3,2.4,2.4,2.4,2.3,2.2,2.3,2.5,2.3,2.5,2.3,2.3
"75",2.3,2.2,2.2,2.3,2.2,2.1,2.1,2.1,2.5,2.2,2.6,2.2,2.2
"16",2.5,2.6,2.5,2.6,2.4,2.6,2.7,2.9,2.3,2.6,2.4,2.5,2.3
"26",2.4,2.5,2.3,2.3,2.3,2.4,2.4,2.6,2.1,2.4,2.3,2.3,2.1
"36",2.4,2.7,2.4,2.5,2.4,2.5,2.6,2.7,2.2,2.4,2.4,2.6,2.2
"46",2.3,2.5,2.3,2.2,2.3,2.4,2.3,2.4,2.3,2.3,2.2,2.4,2.2
"56",2.3,2.4,2.3,2.2,2.3,2.3,2.2,2.3,2.3,2.2,2.1,2.3,2.1
"66",2.4,2.3,2.3,2.4,2.3,2.3,2.2,2.2,2.5,2.3,2.5,2.3,2.3
"76",2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.4,2.3,2.4,2.2,2.2
